year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,deal_rating
2012,FORD,Escape,Limited,suv,automatic,1fmcu0e70ckc64248,tx,49.0,25630.0,blue,black,ford motor credit company llc,17450.0,18600.0,Thu Feb 26 2015 02:30:00 GMT-0800 (PST),Fair Market
2014,HONDA,Civic,LX,sedan,manual,19xfb2e5xee016693,fl,19.0,13858.0,black,black,jpmorgan chase bank n.a.,15400.0,12300.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT),Great Deal
2012,TOYOTA,Camry,XLE,sedan,automatic,4t4bf1fk1cr202558,ca,21.0,65512.0,black,gray,sama california auto export inc,11450.0,12000.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST),Fair Market
2014,NAN,Nan,,nan,automatic,2c4rvadgxer134761,ca,5.0,13376.0,white,gray,vw credit prequalified,24800.0,26250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST),Fair Market
2008,TOYOTA,Avalon,Limited,sedan,,4t1bk36b88u306991,pa,38.0,80455.0,white,beige,alans autos,10850.0,10600.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST),Fair Market
2012,CHEVROLET,Impala,LT Fleet,sedan,automatic,2g1wg5e36c1136222,mo,34.0,90766.0,white,gray,dt credit corporation,7850.0,7200.0,Wed Dec 31 2014 10:30:00 GMT-0800 (PST),Good Price
2004,NISSAN,Quest,3.5 S,minivan,automatic,5n1bv28u64n363050,fl,27.0,181823.0,silver,gray,nextgear capital,2275.0,1700.0,Thu Jan 15 2015 01:35:00 GMT-0800 (PST),Good Price
2006,KIA,Sportage,LX,suv,automatic,kndje723967219027,mi,28.0,166067.0,green,tan,credit acceptance corp/vrs/southfield,1875.0,2350.0,Thu Feb 05 2015 01:30:00 GMT-0800 (PST),Fair Market
2003,JAGUAR,S-Type,3,sedan,automatic,sajea01t23fm81321,ca,22.0,69354.0,gray,gray,aaero sweet company,3425.0,2900.0,Wed Feb 18 2015 03:30:00 GMT-0800 (PST),Good Price
2014,TOYOTA,Camry,SE,sedan,automatic,4t1bf1fk2eu376989,nv,4.0,21210.0,white,black,toyota motor sales usa inc/program,16200.0,16400.0,Fri Jan 23 2015 04:00:00 GMT-0800 (PST),Fair Market
2014,JEEP,Compass,Sport,suv,automatic,1c4njcba0ed925033,il,4.0,10839.0,silver,black,hertz corporation/gdp,14600.0,15000.0,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT),Fair Market
2007,BUICK,Lacrosse,CX,sedan,automatic,2g4wc582071133047,il,19.0,103682.0,white,gray,santander consumer,4500.0,5300.0,Tue Feb 17 2015 02:00:00 GMT-0800 (PST),Fair Market
2012,TOYOTA,Camry,LE,sedan,automatic,4t1bf1fk6cu520976,fl,37.0,11473.0,red,beige,world omni financial corporation,14500.0,14300.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),Fair Market
2008,SATURN,Astra,XR,hatchback,automatic,w08at271685141152,fl,23.0,101147.0,black,black,regional acceptance corporation / greenville,3675.0,2800.0,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT),Good Price
2009,NISSAN,Murano,SL,suv,automatic,jn8az18w09w205390,fl,2.0,91270.0,silver,black,tdaf remarketing,11750.0,11000.0,Mon Dec 22 2014 09:00:00 GMT-0800 (PST),Good Price
2013,BMW,X5,xDrive35i,suv,automatic,5uxzv4c51d0b01224,il,36.0,54194.0,white,black,tdaf remarketing,34800.0,31500.0,Tue May 26 2015 04:00:00 GMT-0700 (PDT),Great Deal
2014,FORD,Escape,SE,suv,automatic,1fmcu0gx2eub81537,pa,47.0,49429.0,brown,gray,ford motor credit company,15850.0,14400.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST),Good Price
2009,TOYOTA,Yaris,Base,sedan,manual,jtdbt923691346671,pr,28.0,67625.0,black,black,reliable financial services inc,6325.0,5100.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),Good Price
2013,HONDA,Odyssey,LX,minivan,automatic,5fnrl5h2xdb058769,il,19.0,33162.0,gray,gray,avis corporation,18150.0,17300.0,Tue Mar 10 2015 04:30:00 GMT-0700 (PDT),Good Price
2011,TOYOTA,Camry,Base,sedan,automatic,4t1bf3ek7bu703136,fl,24.0,60631.0,silver,gray,napleton's palm beach acura,10050.0,8500.0,Thu May 21 2015 02:15:00 GMT-0700 (PDT),Great Deal
2013,FORD,Fusion,SE,sedan,automatic,3fa6p0h75dr221726,fl,34.0,60317.0,red,black,the hertz corporation,11400.0,10900.0,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT),Fair Market
2013,NISSAN,Maxima,3.5 S,sedan,automatic,1n4aa5ap5dc832258,co,36.0,50358.0,white,black,the hertz corporation,13850.0,13600.0,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT),Fair Market
2010,CHEVROLET,Aveo,1LT,sedan,automatic,kl1td5de9ab049988,nj,23.0,79592.0,black,gray,autolenders liquidation center,4275.0,4100.0,Wed Feb 11 2015 01:30:00 GMT-0800 (PST),Fair Market
2006,BMW,3 Series,325i,sedan,automatic,wbavb13536kx40245,ca,32.0,129569.0,black,gray,walters auto sales/service inc,6150.0,7700.0,Tue Feb 03 2015 04:30:00 GMT-0800 (PST),Fair Market
2012,FORD,Fusion,SE,sedan,automatic,3fahp0ha5cr192294,mn,44.0,49436.0,red,black,ford motor credit company llc,10900.0,12100.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),Fair Market
1999,TOYOTA,Avalon,XLS,sedan,automatic,4t1bf18bxxu342539,ga,19.0,174586.0,silver,gray,crown nissan greenville,1450.0,1500.0,Tue Feb 10 2015 05:00:00 GMT-0800 (PST),Fair Market
2011,CHEVROLET,Traverse,LT1,suv,automatic,1gnkvged9bj388851,ca,28.0,36481.0,silver,gray,dtg operations inc,18650.0,17800.0,Tue Jan 06 2015 04:30:00 GMT-0800 (PST),Good Price
2004,VOLVO,S60,2.4,sedan,automatic,yv1rs61t542411055,fl,29.0,99248.0,black,black,consolidated asset recovery systems  inc.,3250.0,1200.0,Wed May 13 2015 08:10:00 GMT-0700 (PDT),Great Deal
2015,BMW,X1,xDrive28i,suv,automatic,wbavl1c58fvy29076,nj,48.0,7887.0,silver,black,bmw na manheim new jersey,31200.0,32500.0,Tue Jan 13 2015 06:00:00 GMT-0800 (PST),Fair Market
2005,JEEP,Liberty,Sport,suv,automatic,1j4gl48k05w514402,in,35.0,116126.0,red,gray,general acceptance corporation,3825.0,3300.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST),Good Price
2012,NISSAN,Altima,2.5 S,sedan,automatic,1n4al2ap6cc222506,il,41.0,57687.0,silver,black,nissan motor acceptance corporation,10700.0,9600.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST),Good Price
2012,CHEVROLET,Equinox,LS,suv,automatic,2gnalbek4c1270267,ms,41.0,23792.0,silver,black,fiserv/global lending services,15000.0,15600.0,Thu May 21 2015 03:30:00 GMT-0700 (PDT),Fair Market
